#,Priority,Segment,Area,Company name,Name for messages,Companies House number,Companies House link,Accounts type,Incorporated,Registered address,Postcode,Group entities collapsed,Also in earlier 933 research list (not messaged),Nearest pitch,Walk to nearest (min),Lead-with pitch,Walk to lead-with pitch (min),Other pitches within 19 min,Latitude,Longitude
364,3,Insurance / broker,City of London,Stubben Edge Markets Limited,Stubben Edge Markets,03317764,https://find-and-update.company-information.service.gov.uk/company/03317764,Full,07/02/1997,"77 Cornhill, London",EC3V 3QQ,1,,Liverpool St - Attlee Centre,16.2,Liverpool St - Attlee Centre,16.2,,51.513453,-0.085482
365,3,Insurance / broker,City of London,Total Risk Solutions (London) Limited,Total Risk Solutions,04007266,https://find-and-update.company-information.service.gov.uk/company/04007266,Full,05/06/2000,"78 Cornhill, London",EC3V 3QQ,1,Total Risk Solutions (London),Liverpool St - Attlee Centre,16.2,Liverpool St - Attlee Centre,16.2,,51.513453,-0.085482
366,3,Insurance / broker,City of London,China Taiping Insurance (UK) Co Ltd,China Taiping Insurance Co,01766035,https://find-and-update.company-information.service.gov.uk/company/01766035,Full,31/10/1983,"2 Finch Lane, London",EC3V 3NA,1,China Taiping Insurance (Uk) Co,Liverpool St - Attlee Centre,16.3,Liverpool St - Attlee Centre,16.3,,51.513691,-0.085731
367,3,Insurance / broker,City of London,Bannerman Rendell Limited,Bannerman Rendell,00609004,https://find-and-update.company-information.service.gov.uk/company/00609004,Full,31/07/1958,"5-10 Bury Street, London",EC3A 5AT,1,,Liverpool St - Attlee Centre,9.5,Shoreditch Powerleague,16.4,Shoreditch Powerleague (16.4),51.514486,-0.079328
368,3,Fund / asset manager,City of London,Rondine Capital LLP,Rondine Capital,OC394732,https://find-and-update.company-information.service.gov.uk/company/OC394732,Full,08/08/2014,"3Rd Floor, 7 St. John Street, London",EC1M 4AA,1,,Old St - Moreland Primary School,16.5,Old St - Moreland Primary School,16.5,,51.520079,-0.101968
369,3,Insurance / broker,City of London,Eppione Limited,Eppione,10141284,https://find-and-update.company-information.service.gov.uk/company/10141284,Full,22/04/2016,"29 Throgmorton Street, Warnford Court, London",EC2N 2AT,1,Eppione,Liverpool St - Attlee Centre,16.5,Liverpool St - Attlee Centre,16.5,,51.514895,-0.086748
370,3,Advisory / accountancy,City of London,Barnett Waddingham Actuaries and Consultants Limited,Barnett Waddingham Actuaries and Consultants,06498431,https://find-and-update.company-information.service.gov.uk/company/06498431,Full,08/02/2008,"One, Creechurch Place, London",EC3A 5AF,1,,Liverpool St - Attlee Centre,9.0,Shoreditch Powerleague,16.6,Shoreditch Powerleague (16.6),51.514256,-0.078458
371,3,Insurance / broker,City of London,Dual International Limited,Dual,03540129,https://find-and-update.company-information.service.gov.uk/company/03540129,Full,03/04/1998,"One Creechurch Place, London",EC3A 5AF,2,,Liverpool St - Attlee Centre,9.0,Shoreditch Powerleague,16.6,Shoreditch Powerleague (16.6),51.514256,-0.078458
372,3,Insurance / broker,City of London,Tigerrisk Partners (UK) Limited,Tigerrisk Partners,07524836,https://find-and-update.company-information.service.gov.uk/company/07524836,Full,10/02/2011,"One Creechurch Place, London",EC3A 5AF,2,,Liverpool St - Attlee Centre,9.0,Shoreditch Powerleague,16.6,Shoreditch Powerleague (16.6),51.514256,-0.078458
373,3,Fund / asset manager,City of London,London Wall Capital Investments LLP,London Wall Capital Investments,OC396015,https://find-and-update.company-information.service.gov.uk/company/OC396015,Full,21/10/2014,"4Th Floor,, 140 Aldersgate Street, London",EC1A 4HY,1,,Old St - Moreland Primary School,16.7,Old St - Moreland Primary School,16.7,,51.519648,-0.097518
374,3,Fund / asset manager,City of London,Macquarie Lending & Investment Partners LLP,Macquarie Lending & Investment Partners,OC363068,https://find-and-update.company-information.service.gov.uk/company/OC363068,Full,23/03/2011,"Ropemaker Place, 28 Ropemaker Street, London",EC2Y 9HD,2,,Shoreditch Powerleague,16.7,Shoreditch Powerleague,16.7,Old St - Moreland Primary School (18.6),51.520041,-0.089631
375,3,Fund / asset manager,City of London,Twentyfour Asset Management LLP,Twentyfour Asset Management,OC335015,https://find-and-update.company-information.service.gov.uk/company/OC335015,Full,24/02/2008,"20 Fenchurch Street, 4Th Floor, London",EC3M 3BY,1,,Liverpool St - Attlee Centre,16.7,Liverpool St - Attlee Centre,16.7,,51.511398,-0.083507
376,3,Insurance / broker,City of London,Ascot Underwriting Limited,Ascot Underwriting,04098461,https://find-and-update.company-information.service.gov.uk/company/04098461,Full,30/10/2000,"20 Fenchurch Street, London",EC3M 3BY,6,,Liverpool St - Attlee Centre,16.7,Liverpool St - Attlee Centre,16.7,,51.511398,-0.083507
377,3,Insurance / broker,City of London,Cathedral Capital Holdings Limited,Cathedral Capital,03372107,https://find-and-update.company-information.service.gov.uk/company/03372107,Full,16/05/1997,"20 Fenchurch Street, London",EC3M 3BY,1,,Liverpool St - Attlee Centre,16.7,Liverpool St - Attlee Centre,16.7,,51.511398,-0.083507
378,3,Insurance / broker,City of London,CNA Insurance Company Limited,CNA Insurance Company,00000950,https://find-and-update.company-information.service.gov.uk/company/00000950,Full,08/02/1864,"20 Fenchurch Street, London",EC3M 3BY,3,,Liverpool St - Attlee Centre,16.7,Liverpool St - Attlee Centre,16.7,,51.511398,-0.083507
379,3,Fund / asset manager,City of London,Smarkets (Clients) Limited,Smarkets,11184989,https://find-and-update.company-information.service.gov.uk/company/11184989,Full,02/02/2018,"1 Commodity Quay, 7Th Floor, St Katharine Docks, London",E1W 1AZ,1,,Bermondsey Riverside,16.8,Bermondsey Riverside,16.8,Whitechapel (17.2); Liverpool St - Attlee Centre (17.7),51.508094,-0.071786
380,3,Fund / asset manager,City of London,Swiss Re Investment Management Limited,Swiss Re Investment Management,02143137,https://find-and-update.company-information.service.gov.uk/company/02143137,Full,30/06/1987,"30 St Mary Axe, London",EC3A 8EP,3,Swiss Re Investment Management,Liverpool St - Attlee Centre,10.4,Shoreditch Powerleague,16.8,Shoreditch Powerleague (16.8),51.514486,-0.080437
381,3,Fund / asset manager,City of London,Actis Africa Limited,Actis Africa,04910326,https://find-and-update.company-information.service.gov.uk/company/04910326,Full,24/09/2003,"2 More London Riverside, London",SE1 2JT,3,,Bermondsey Riverside,16.9,Bermondsey Riverside,16.9,,51.505285,-0.080363
382,3,Fund / asset manager,City of London,Ares Management Limited,Ares Management,05837428,https://find-and-update.company-information.service.gov.uk/company/05837428,Full,05/06/2006,"C/O Tmf Group, 13Th Floor, One Angel Court, London",EC2R 7HJ,3,,Liverpool St - Attlee Centre,17.0,Liverpool St - Attlee Centre,17.0,,51.515312,-0.087494
383,3,Fund / asset manager,City of London,First Trust Global Portfolios Limited,First Trust Global Portfolios,07874049,https://find-and-update.company-information.service.gov.uk/company/07874049,Full,07/12/2011,"Floor 2 8, Angel Court, London",EC2R 7HJ,1,First Trust Global Portfolios,Liverpool St - Attlee Centre,17.0,Liverpool St - Attlee Centre,17.0,,51.515312,-0.087494
